"urm","vox.x","vox.y","vox.z","vox.vol","vox.n","L.F.mar","L.O.inf","L.par.C","L.sub.C","L.tran.F.pol","L.Cin.A","L.Cin.MA","L.Cin.MP","L.Cin.PD","L.Cin.PV","L.CU","L.F.inf.Op","L.F.inf.Or","L.F.inf.Tr","L.F.mid","L.F.sup","L.Ins.ig","L.Ins.sh","L.O.mid","L.O.sup","L.OT.latfus","L.OT.medling","L.OT.medparhip","L.Orb","L.P.infang","L.P.infsupmar","L.P.sup","L.pos.C","L.pre.C","L.pre.CU","L.R","L.sub.Call","L.T.sup.Gttra","L.T.sup.lat","L.T.sup.pol","L.T.sup.tem","L.T.inf","L.T.mid","L.Lat.FisHor","L.Lat.FisVer","L.Lat.FisPos","L.pole.O","L.poleT","L.S.Cal","L.S.Cen","L.S.cingM","L.S.Ins.ant","L.S.Ins.inf","L.S.Ins.sup","L.S.coll.tra.ant","L.S.coll.tra.pos","L.S.F.inf","L.S.F.mid","L.S.F.sup","L.S.IPJ","L.S.Iptra","L.S.O.mid.Lu","L.S.O.sup.tra","L.S.O.ant","L.S.O.lat","L.S.OT.med.ling","L.S.Orb.lat","L.S.Orb.med","L.S.Orb.H","L.S.PO","L.S.per.Call","L.S.pos.C","L.S.pre.C.inf","L.S.pre.C.sup","L.S.sub.Orb","L.S.sub.P","L.S.T.inf","L.S.T.sup","L.S.T.tra","R.F.mar","R.O.inf","R.par.C","R.sub.C","R.tran.F.pol","R.Cin.A","R.Cin.MA","R.Cin.MP","R.Cin.PD","R.Cin.PV","R.CU","R.F.inf.Op","R.F.inf.Or","R.F.inf.Tr","R.F.mid","R.F.sup","R.Ins.ig","R.Ins.sh","R.O.mid","R.O.sup","R.OT.latfus","R.OT.medling","R.OT.medparhip","R.Orb","R.P.infang","R.P.infsupmar","R.P.sup","R.pos.C","R.pre.C","R.pre.CU","R.R","R.sub.Call","R.T.sup.Gttra","R.T.sup.lat","R.T.sup.pol","R.T.sup.tem","R.T.inf","R.T.mid","R.Lat.FisHor","R.Lat.FisVer","R.Lat.FisPos","R.pole.O","R.poleT","R.S.Cal","R.S.Cen","R.S.cingM","R.S.Ins.ant","R.S.Ins.inf","R.S.Ins.sup","R.S.coll.tra.ant","R.S.coll.tra.pos","R.S.F.inf","R.S.F.mid","R.S.F.sup","R.S.IPJ","R.S.Iptra","R.S.O.mid.Lu","R.S.O.sup.tra","R.S.O.ant","R.S.O.lat","R.S.OT.med.ling","R.S.Orb.lat","R.S.Orb.med","R.S.Orb.H","R.S.PO","R.S.per.Call","R.S.pos.C","R.S.pre.C.inf","R.S.pre.C.sup","R.S.sub.Orb","R.S.sub.P","R.S.T.inf","R.S.T.sup","R.S.T.tra","L.thal","L.caud","L.putm","L.pall","L.hipp","L.amyg","L.accm","R.thal","R.caud","R.putm","R.pall","R.hipp","R.amyg","R.accm","L.vent","R.vent","icv"
367,1.00000739097595,1,1,1.00000739097595,11730944,2172,3196,3038,2896,1174,5071,3353,2780,1590,513,2622,3412,980,3055,11917,17261,1086,2796,4123,3082,5527,4694,3133,7615,6695,5894,7120,4047,6240,6122,2080,549,1057,6165,1758,1360,7221,8274,468,633,1297,2893,6014,2989,3358,1595,1046,2320,2784,1576,778,3542,1975,4759,364,4882,1002,2190,1109,2033,3789,619,1240,2517,3195,1140,3966,2334,1924,1263,1678,3155,9946,438,1711,2104,2176,3502,2005,6687,3916,2773,1423,517,2910,3547,817,2864,9721,16899,1120,2215,4437,3525,4029,4890,2598,7405,7694,5310,6087,3870,6358,6263,1376,645,765,4932,1958,1061,8073,10462,560,285,1848,4387,6056,3498,3295,1627,1187,1951,2262,2263,895,3060,3135,4771,681,4305,1394,2357,885,1531,3210,662,1404,2919,3673,1605,3445,3708,2016,578,2483,2659,9984,348,6764,4061,5062,1188,4383,1083,337,6309,3950,4933,1316,4742,1065,337,10501,9815,1527706
373,0.999998390674591,1,1,0.999998390674591,11468800,1750,2693,2324,3609,1282,4758,3200,2464,1081,730,2543,3076,572,2263,9387,16843,1054,1762,4337,2161,3062,4159,2817,5145,4892,5571,4654,3910,5300,4784,1944,362,1252,5427,2128,1456,5887,7600,383,386,1595,2682,5110,3480,2854,1431,833,2074,2766,2080,539,3618,1635,3401,752,2951,1178,1162,874,384,2913,418,902,2010,3442,833,3881,3035,1712,850,1425,2170,7472,585,1909,2025,2165,2507,2182,5243,2658,2944,1560,881,2928,3568,735,2298,7607,15764,1200,1752,4085,2592,3549,4429,3095,4924,5385,5868,3971,2645,5261,4365,1449,259,1084,4926,2005,1449,5241,7242,714,349,2059,4080,4866,3397,2978,1698,954,1954,2411,1588,808,2789,2807,3266,944,2963,1144,1384,743,1107,2734,588,956,2369,3127,1580,2848,3335,2124,760,1740,1662,10228,361,5334,3299,3893,1064,3348,829,338,5471,3303,3747,1127,3331,836,376,4212,2803,1262426
4001,1,1,1,1,11534336,1758,2661,2215,2908,1283,3353,1797,2081,1005,463,2462,2220,843,2174,8400,14496,925,1950,3614,1966,3199,4690,2440,4744,5471,5822,5191,2650,5046,4600,2071,420,893,4553,1092,1915,6096,5620,373,434,1389,2517,5049,2523,3087,1407,732,2117,2480,1099,315,2579,2088,3964,424,3747,1022,1296,904,923,3059,314,936,2420,2716,945,3761,2114,1237,839,1612,1217,6629,553,1105,2324,1776,2013,2109,3968,2429,2043,1096,557,2143,2240,613,2236,6828,13045,1100,1939,4205,2314,3775,4086,2272,5770,5756,5089,3692,2427,4918,4825,1487,510,414,4659,1160,1361,5436,5522,411,282,2022,3684,4912,2173,3232,1656,810,1616,1972,1039,378,2374,1890,4198,1164,3597,1103,1819,933,1483,2379,375,1237,2399,2628,1432,2360,1736,1225,306,1417,838,7403,473,5174,3507,3321,1147,3688,882,346,4827,3496,3344,1084,3663,863,315,11260,11850,1310122
4004,1,1,1,1,11534336,1839,2554,2795,2664,1384,4083,2553,2499,1293,310,2577,3305,889,3111,7182,17107,926,2011,4245,2750,4431,3057,3248,5551,5151,5869,6111,4019,4976,5738,1707,310,994,4973,1378,1705,6313,7544,551,418,1527,2868,4587,2205,2415,1640,817,1841,2796,1818,388,3727,2259,3748,238,4425,1196,2085,1631,1340,3180,707,1077,2325,2670,810,4093,2289,1701,1281,1807,917,8495,384,1787,1645,1918,2586,2229,4771,3127,2394,1023,478,2533,2695,911,2304,7998,15533,1101,1689,5092,3315,4274,3713,3609,6148,5509,6104,5035,3062,6176,5536,1169,706,776,4358,1693,1423,6030,7376,806,267,1744,3929,4783,2291,2828,1883,1065,1612,1762,1582,527,2920,2797,4132,458,5265,1087,1982,1479,1555,3281,553,1095,2423,3467,1395,2683,2626,1380,280,2536,1753,9678,303,5400,3651,3692,1205,3568,892,411,5434,3476,3690,1116,3518,845,442,1606,1545,1278148
4009,1.00000143051147,1,1,1.00000143051147,11534336,1687,2760,2856,3046,1478,5134,2721,2674,1688,575,2066,3927,589,3386,9717,18312,1101,2624,4367,2225,4096,3070,2955,5217,5897,7844,5640,3335,6174,5826,2102,480,1422,6408,907,1372,5767,6113,566,541,1578,2718,5448,2501,3249,1933,963,2893,2640,1038,366,3165,2307,4161,275,4785,753,1906,1356,1257,2926,297,928,2503,2608,758,3955,2064,1468,919,2294,1226,7859,563,1555,1641,2402,2468,2555,5804,3319,3156,1193,798,2576,2805,680,2736,7845,17861,1470,2099,4493,2760,4286,3325,3354,6846,5402,6558,4089,3601,6385,4758,1517,340,874,5335,1418,1535,5130,6743,752,292,2040,3765,6058,2422,3244,2667,1280,2193,2847,1070,768,3370,2609,3985,672,5261,484,2089,821,1167,2877,607,932,2808,2925,1799,2964,2191,2199,264,2653,1051,9150,435,5804,3659,4967,1300,4035,996,349,5919,3741,4919,1225,3814,1000,331,8523,11419,1453813
4013,1,1,1,1,11534336,2318,2618,2062,3904,1774,3586,2444,1992,1321,738,2725,3149,601,1862,7827,13208,1245,1934,4270,2682,3107,4262,2519,5308,4813,5030,5079,4731,6321,5469,2064,238,872,5588,1206,1150,4771,7614,611,200,1024,2247,5124,2728,3828,991,717,2134,2065,2231,615,3546,1791,3696,690,3723,1480,1917,930,1240,3010,611,963,1635,2745,1301,3725,2466,1573,1027,1724,2119,7780,487,1706,2168,2312,2771,2273,4991,2831,2140,1452,581,2840,2530,1152,1744,6930,13437,866,1725,4534,2722,3847,4020,2457,5164,6699,4050,4551,3084,5708,5104,985,380,721,4404,1565,1189,4774,8726,547,190,1625,4086,4906,2851,3631,1582,930,1448,1707,1297,546,3183,3538,3141,678,4174,1470,1754,1205,1210,3159,554,731,1995,3124,1631,2455,2743,1382,427,1947,1516,10024,351,5500,3128,4520,1218,3689,738,282,5708,3157,4405,1212,3659,762,293,3697,2044,1201462
4015,1,1,1,1,11534336,2027,1767,2828,2027,1404,3263,1764,2003,939,337,2002,2563,560,2407,7679,14281,947,1604,3218,1737,4004,3932,3581,5056,5251,4767,4814,3222,5018,4520,1698,1056,814,4382,1086,1499,4702,5348,472,462,1390,2231,4382,2409,3625,1756,625,1873,2137,1300,442,2458,1658,4067,417,3579,1182,1498,700,1086,2992,734,873,1912,2209,643,3132,1219,1770,861,908,1184,5798,403,1487,2347,2434,2177,2184,4072,2340,2246,839,488,2197,2462,824,2423,6927,13258,853,1431,4371,2047,2969,4089,2347,4757,4077,4217,3783,2664,5020,4340,1309,315,559,4197,1145,1535,2770,6271,564,215,1911,3010,3724,2287,3468,2063,910,1492,2005,1209,491,2073,1867,2881,343,3800,1028,1712,1149,997,2563,445,871,1989,2112,1248,1944,1983,1972,264,1081,981,7845,289,5429,3229,4132,1099,3335,789,294,5319,3184,4147,1102,3203,762,246,3934,3554,1142004
4018,1,1,1,1,11534336,1284,2995,2618,2515,936,3585,2257,2416,1239,412,1899,3003,900,2973,7531,12617,876,1759,4347,1777,3247,3688,2721,5333,3895,4808,5074,3957,4774,4278,1857,449,680,3943,1356,1085,4487,6026,426,489,1338,2912,3734,2401,3407,1503,938,1775,2339,1168,352,3343,1581,3842,544,3355,1512,1509,1155,1027,2942,400,827,2091,2397,640,3646,1629,2153,1067,1490,1175,6933,437,1424,1960,2047,2288,1639,4143,2438,2716,1138,424,2356,2608,1161,1633,5971,11707,839,1783,4508,2629,2896,4276,2597,5363,4557,5927,3674,3312,5302,4486,1492,496,622,3678,1487,934,3912,7236,532,162,1522,2980,4565,2215,3227,1791,1110,1559,2025,1627,702,2911,2678,3250,324,3174,999,1540,781,872,2442,377,1118,2359,2789,1775,3053,2399,1740,391,1788,1449,7554,387,5865,3323,3960,1071,3512,866,321,5708,3442,4054,1175,3547,896,277,7071,5613,1260083
4027,1,1,1,1,11534336,1489,2724,3087,2552,1601,4448,2614,2074,1534,551,2432,2935,779,2504,8249,14150,1151,1637,3469,1905,3039,4429,2801,5306,4914,5277,5090,3159,5379,4539,1933,629,821,4764,1295,1506,6820,7197,310,410,1449,2335,4826,2920,3197,1617,677,2166,2312,1521,522,3072,1624,4553,428,3903,1034,1884,745,1092,2674,430,861,2310,2578,881,3219,2340,1504,723,1250,1505,7109,228,1349,1861,2310,1922,1757,5754,2730,2122,1582,609,2452,2534,925,2717,7019,14304,1061,1762,4342,2220,2934,4160,3158,6098,5387,5143,4091,2919,5604,4948,1080,397,565,3615,1631,1212,5673,7408,435,360,1604,4413,5726,3216,3242,1364,836,1403,1696,1319,704,3314,1977,3362,969,3304,1303,1929,775,1317,2265,675,962,2387,2558,1703,2509,2218,1768,460,2071,2109,7236,294,5632,3325,4992,1261,3927,788,299,5683,3228,4914,1283,3940,814,268,4552,3728,1371635
4028,1,1,1,1,12124160,2319,1965,2547,2810,1740,4947,2733,3140,1419,338,2542,3523,838,3508,9616,18756,1309,2427,4760,2120,4577,3799,2737,6129,4180,7381,5742,3190,7018,5506,2434,534,971,5594,1622,1754,7393,6569,423,605,1465,2125,6074,2577,3532,2014,805,2415,2833,1431,401,2883,2095,5686,628,6128,1334,1586,743,1406,3407,707,1005,2458,3325,1203,3724,1788,2652,1177,1418,1883,8174,477,1683,2234,2442,2788,2574,5858,3852,3059,1064,606,2199,3849,1179,3881,9392,18887,1180,2045,4100,2344,5093,4118,2515,6075,7938,6548,5552,3046,6530,6138,1503,658,961,5247,1352,1775,4465,9074,544,662,2128,4027,5655,2267,3321,2048,1330,2515,2566,1239,446,3016,2771,4639,854,3857,1046,1452,880,1316,2977,338,1203,2476,3172,1671,3107,2572,2283,704,1832,1318,10327,373,5885,4643,5472,1514,3435,879,494,5966,4566,5397,1526,3477,909,449,3974,3405,1391308
4164,1,1,1,1,11534336,2737,3114,2434,2964,1301,4734,3273,2810,1446,374,2424,4122,764,3000,10819,18232,1180,2341,4780,3070,3697,3962,3342,6761,6477,6629,6696,3819,6044,5700,2270,333,932,6050,1471,1693,7265,7765,434,374,1253,2517,6893,2744,2799,1381,1065,2375,3063,2593,547,3397,2273,4499,474,4848,1845,1847,789,1385,3128,573,1180,2917,2330,1485,3806,1989,2512,1209,2152,1859,9323,676,1955,2002,2480,2915,3043,5916,3980,2599,1378,508,2278,3127,1103,4237,7021,19187,1252,1899,4927,3600,4469,4130,3451,7586,8140,6349,5338,3888,6789,5669,1306,590,1029,5205,2167,1113,7270,9884,536,512,1874,3700,6293,2503,3333,1737,1169,2014,2312,1969,815,2998,3673,4034,1181,3517,1395,1945,1275,1353,2904,728,1200,2725,3132,1598,3254,1958,2478,715,2059,2638,9247,461,5767,3901,4352,1162,3829,776,340,5590,3930,4242,1162,3837,938,282,6116,6018,1335141
4165,1,1,1,1,11534336,2431,3272,2233,2702,2144,5766,3521,2310,1676,747,2550,3853,1238,3477,10877,19875,1533,2490,3793,1920,3551,4869,3666,6980,6676,6508,5508,4123,5508,5038,2401,438,1172,5153,2211,1630,7627,9479,490,811,1217,2617,5294,3163,2808,1826,1259,2202,3106,1837,557,4112,2169,5430,608,3987,1384,1818,1466,1351,3078,463,1322,3100,2435,1171,4000,2590,1987,1067,1773,2609,9307,621,2328,2353,1822,2581,3575,5712,3557,3236,1472,768,2639,3592,1015,3385,10172,19312,1450,2666,5407,2254,4294,4439,3729,6990,7705,5901,4039,4091,6115,5103,1443,933,644,5168,1903,1383,5707,9340,731,505,2065,5782,6191,3253,3011,1936,1055,1941,2536,1795,484,3416,3722,5066,562,3834,880,2256,1432,1550,3425,567,1328,3154,2656,2657,2881,2682,2289,384,2169,2239,9673,514,6883,3659,5468,1523,4282,843,311,6613,3721,5357,1466,4154,899,287,3349,4204,1452229
4166,1,1,1,1,11534336,2676,3497,2751,3672,1829,4052,2744,2596,1638,546,2269,3512,568,2401,10680,18052,967,2327,4896,2642,5010,4545,3451,6279,5064,6761,6193,4184,6942,7032,2047,221,1064,6716,1533,1535,7106,7856,428,303,1195,2530,5839,2718,3291,1647,807,2449,2882,2702,452,3275,2189,4071,966,4274,1331,2039,1814,1392,3435,623,1159,2457,2206,1042,3365,2960,2340,1352,2424,1705,9720,537,1993,2407,2187,2522,2148,5397,2859,3069,1506,714,2512,3764,977,3439,9401,15283,1187,2062,4971,3721,5333,4354,4286,7103,6109,7701,4524,4240,6473,6762,1454,718,822,5176,1910,1550,6459,8198,549,428,1910,3681,6474,2858,3293,2094,1157,1837,2303,2414,509,3532,3259,3990,800,3780,1052,2848,1432,1331,3149,818,1386,2485,2669,1704,3979,2640,2321,678,2518,1591,9620,536,6001,3234,4616,1212,3317,880,318,5792,3403,4459,1198,3462,925,310,9854,7799,1457979
4169,1,1,1,1,11534336,2202,2667,1910,3109,1502,4057,2380,2314,1350,570,2441,3082,913,3075,8645,16357,912,2050,3830,2256,4463,4874,2347,6189,4611,6861,6584,2955,5556,4943,1998,905,1108,4591,2013,1476,8498,7668,398,664,1395,2467,6219,3359,3195,1503,1087,2635,3035,1583,506,2893,3259,4255,354,3536,1244,1794,887,1810,4177,625,1261,2413,3660,895,3093,2582,1869,980,1406,2297,7581,369,1784,2593,1460,2699,2589,5003,3443,2976,1616,878,2693,2614,1282,2638,8188,15468,967,1671,5855,3005,4050,3994,2309,7292,5834,5981,4069,3519,4904,5745,1469,770,992,4693,2290,1233,6004,7665,516,401,2376,4190,5514,3063,2502,1863,1261,1938,2266,1875,684,2596,4725,4437,294,3166,1737,1428,1617,1091,3418,905,1301,2659,2552,1991,3434,2156,1414,582,2535,2114,8916,500,5629,3417,3374,1141,3383,847,334,5528,3412,3506,1143,3358,873,239,5375,4683,1342247
4170,1,1,1,1,11534336,1906,2178,2520,2494,1056,3835,3142,2322,1216,535,2248,2950,849,2358,9076,17266,893,1858,3787,1943,4848,3845,2985,5831,5878,5854,4842,3738,5732,5903,1798,653,727,4897,1212,1130,5355,9155,307,486,1079,1843,4475,2017,3011,1533,875,1972,2480,1364,438,2893,1696,4816,682,2934,901,1775,1339,1140,3131,638,1013,2879,2690,915,3541,2568,1396,852,1776,2173,8848,558,2324,1872,2078,2475,2505,4975,3312,2968,1436,508,2890,3108,968,2317,6682,15036,1073,1496,4706,2500,4522,3825,2628,6516,6858,4646,4646,3056,4806,5031,1884,291,725,4258,1404,1505,4961,9007,711,312,1595,3389,5056,2051,2827,1889,1053,1464,2194,1191,625,2423,4106,4300,518,4272,916,1439,787,1411,2984,570,631,2697,3785,1727,2389,1111,2496,669,1491,1592,10145,396,5865,3604,4041,1041,3790,786,301,5794,3687,4003,1074,3839,786,256,4189,3797,1246624
4171,1,1,1,1,11534336,2302,2817,3274,3810,1642,7684,4446,3326,2155,996,3290,5584,1072,3891,13712,23471,1387,2862,6590,2961,4714,6320,3229,7639,7415,7838,6840,5716,7881,5748,2484,1125,1150,6555,2451,2000,9715,11952,636,758,1482,2377,5349,4040,3773,2071,1287,2267,3538,2152,639,5265,2263,5674,876,5127,2162,2572,2030,2261,3443,753,1128,3160,4402,1609,5511,3393,2023,1142,2795,2457,11098,550,2337,3399,2254,3092,3898,7879,4049,3811,2412,846,3230,6790,1347,4791,11467,20741,1302,2482,5419,3692,5001,6001,4342,7272,9440,7024,5254,5143,6934,6205,1584,925,1029,6031,1809,2239,7177,11241,821,695,2244,5099,5434,3537,3211,3586,1192,2026,3025,1962,768,4965,2609,4812,608,3884,1388,2506,1359,1759,3356,804,1894,3220,4644,1955,4676,3750,2867,692,3199,2486,12759,514,6928,4181,5645,1376,4607,945,391,6952,4030,5474,1450,4377,1005,372,5802,5027,1719962
4173,1,1,1,1,11534336,2151,2079,1979,3002,1309,3881,2354,2384,1475,363,2162,2849,607,2327,8120,15835,1194,1687,3398,2109,3326,3465,2877,4964,4966,6872,6450,3016,5273,5094,1562,494,1226,5050,1026,1917,6027,6796,365,196,1652,2687,5511,1839,2699,1413,703,1895,2317,1245,479,3692,2475,4671,530,4884,864,1409,1096,986,3264,526,897,2566,2718,1043,4380,1667,2220,1249,1263,1168,6946,559,1695,1614,1735,2555,2166,4578,3158,2544,1008,489,2439,2641,669,1679,6934,15407,1207,1361,4107,2920,3572,3802,3230,6404,4967,6514,4669,2742,6182,5143,1462,541,661,4964,1211,1452,5988,7986,400,236,2102,3551,5025,2211,2576,1579,755,1777,2110,1420,572,2340,2534,4148,886,4122,852,1875,942,1083,2784,569,902,2321,2585,1681,2922,2510,2388,494,2342,1689,7818,290,5714,3090,4092,1209,3389,803,377,5459,2995,3937,1076,3503,873,269,5120,4991,1317076
4178,1,1,1,1,11534336,2209,1961,3272,3063,1428,4331,3342,2595,1093,540,2344,3794,896,2497,11870,19962,1079,2523,3148,2925,4048,3933,3335,7371,5197,6798,4975,3806,6929,5177,2683,640,1270,5083,1961,1812,6366,7802,517,549,1739,3184,5331,3544,3182,1631,1036,2314,2628,1286,457,3787,2545,5791,775,5062,809,1679,464,1347,3340,491,1074,3070,2392,1131,3115,2990,1995,891,1389,1879,7455,440,1738,1922,2291,2739,2517,6422,4324,3059,1479,671,2381,3025,540,2958,10257,17135,1316,2415,4106,3755,4463,4113,2843,6793,5815,5740,3903,4023,8042,5321,1676,960,827,4780,2018,1126,5915,7885,619,291,2398,4619,5528,2955,3725,1946,1121,1820,2659,1194,446,3813,4080,5298,305,4008,1226,2580,1189,1114,2763,492,1331,2514,2065,1728,2636,2688,3304,1053,1758,1272,9041,412,6044,3453,4268,1094,3890,1030,386,6330,3789,4313,1170,3787,1019,316,9163,7410,1453863
4181,1,1,1,1,11534336,2318,2451,3425,2738,2000,4849,2654,2106,1159,325,2582,4214,647,2235,9887,18736,1128,1739,2606,2144,3280,3844,2747,6050,5322,5513,5692,4304,5678,5473,2174,700,761,4563,1478,1107,6942,7518,595,190,1462,2251,5156,3002,2876,1776,807,2227,2778,1370,531,3452,2367,4646,329,4593,879,1640,784,1352,2893,562,1361,2277,3285,758,3439,2235,1983,1177,1104,1941,7156,347,1768,1532,2678,2957,3491,5010,3195,3084,1263,439,2368,3685,715,2510,10550,15329,995,1559,3791,2359,3362,3802,2333,5881,5822,6025,4849,3521,5518,4832,1713,841,677,4412,1588,1521,6215,7262,699,251,2108,3432,6226,2390,2287,2962,867,1965,2425,1398,428,3359,3526,5282,432,4205,972,1719,886,1100,2792,741,1250,2787,3604,1306,3452,2705,1697,941,1249,2186,7182,494,5467,3285,3943,1098,3630,751,333,5601,3214,3879,1112,3355,820,357,6914,9523,1266184
4201,1,1,1,1,11534336,1487,1895,1988,2082,992,3065,1569,1799,1001,364,1932,2014,619,2219,7065,12431,814,1867,3515,1815,3152,3179,2738,4866,5067,4968,4276,2708,4438,4238,1209,261,657,3994,1223,1286,4847,4587,398,328,1213,2066,4630,2068,2359,1149,599,1618,2282,1231,322,2206,1430,2900,339,2732,1359,1396,985,1280,2680,471,696,2066,2175,872,2606,1299,1296,745,1281,1391,6214,338,1579,1293,1628,1941,1816,3367,2324,2061,844,634,1670,2173,596,1663,5384,11145,840,1513,3708,2289,3340,3402,2546,5235,4559,4642,3504,2374,4366,3896,1033,356,562,2957,1270,808,4220,5704,326,223,1729,3753,5085,2310,2428,1587,877,1070,1801,1203,429,2125,2299,2940,248,3410,908,1638,1176,996,2015,493,949,1718,1713,1339,2444,1605,1389,388,1854,1433,6978,232,5121,2845,4140,1173,3505,880,313,5043,2976,4160,1101,3571,906,276,5339,4039,1116767
4202,1,1,1,1,11534336,1704,2113,3194,3380,1642,4600,2735,2116,1051,378,2298,3391,611,3160,9874,18448,1316,1949,4743,2462,3663,3709,2919,5173,5088,4393,6080,3924,5564,4683,2029,346,849,5846,1417,1118,5631,7171,439,320,1068,2251,5639,2568,3276,1514,738,2113,2701,1257,467,3750,1606,3649,409,3527,1409,1534,937,1699,2499,590,1248,1698,2599,930,4329,1841,1863,1297,1450,1586,10269,391,1730,2725,2526,2546,2430,3599,2915,2666,1053,488,2351,3403,702,1985,8545,18411,1251,2176,5041,2717,3875,3561,3766,6002,6735,4864,4368,3413,5805,4750,1630,539,691,4634,1481,961,6058,7698,435,191,1815,4791,5335,2258,3080,2132,976,2039,2291,1160,683,3134,3176,4284,297,3917,1145,1809,1439,987,2225,647,1274,1773,2906,2031,3461,1892,2086,533,1702,1519,9418,399,5252,2828,4592,1165,3456,746,287,5283,2984,4679,1203,3287,654,324,26072,27581,1370373
4204,1,1,1,1,11534336,1725,2116,2126,2517,1254,3881,2269,1940,897,423,2116,2739,407,1896,8466,13963,1020,1679,3561,1828,3492,3278,2483,4914,3484,5461,5530,2781,4942,5840,1788,748,822,4302,1175,1694,6109,5826,308,389,1100,2272,5756,2451,2808,1286,777,2062,2212,1566,392,2038,1678,3537,1218,4294,964,1551,449,988,2456,519,775,2170,1977,657,2877,1421,1559,682,1902,2381,6896,452,1611,1837,1850,1469,1885,4344,3037,2746,1459,574,2109,2005,558,2016,7383,12557,1018,1541,4143,2401,3205,3528,3060,5089,5715,4725,3758,2836,4521,4739,1258,428,503,3858,1535,1247,5060,6981,499,244,1418,3746,5561,2284,2544,1901,767,1521,1850,1842,593,2731,2925,3828,500,3981,799,1696,814,921,1918,354,892,2485,2334,1563,2413,1981,1188,692,1864,1491,7828,386,4762,2637,3287,896,3766,777,248,4819,2833,3272,952,3966,821,231,6459,7135,1158045
